ua
"Mozilla/5.0 (Linux; Android 14; 2206122SC Build/UKQ1.231003.002; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/118.0.0.0 Mobile Safari/537.36"
"Mozilla/5.0 (iPad; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile"
Dalvik/2.1.0 (Linux; U; Android 10; SEA-AL10 Build/HUAWEISEA-AL10)
Dalvik/2.1.0 (Linux; U; Android 13; V2203A Build/TP1A.220624.014)
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.97 Safari/537.36 Core/1.116.454.400 QQBrowser/13.2.6135.400"
"Mozilla/5.0 (Linux; Android 14; PJV110 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.0.0 Mobile Safari/537.36 os/android model/PJV110 build/8220300 osVer/14 sdkInt/34 network/1 BiliApp/8220300 mobi_app/android channel/oppo Buvid/XX5B4155A29D07DECB2E83EBCCE476433E93A sessionID/5e63958e innerVer/8220310 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/1 sh/40"
"Mozilla/5.0 (Linux; U; Android 14; zh-CN; V2339A Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.58 Quark/7.5.1.691 Mobile Safari/537.36"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
Dalvik/2.1.0 (Linux; U; Android 14; RMX3995 Build/UKQ1.231108.001)
Dalvik/2.1.0 (Linux; U; Android 14; 2311DRK48G Build/UP1A.230905.011)
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
"Mozilla/5.0 (Linux; U; Android 13; zh-cn; 23049RAD8C Build/TKQ1.221114.001) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/18.7.921118"
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.56"
"Mozilla/5.0 (Linux; Android 12; HBN-AL00 Build/HUAWEIHBN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20240802 MMWEBID/5571 MicroMessenger/8.0.53.2740(0x2800353F) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64 miniProgram/wx1753810b04aff5f8"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
"Mozilla/5.0 (Linux; Android 14; 22101316UCP Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/97.0.4692.98 Mobile Safari/537.36 T7/13.73 SP-engine/3.14.0 baiduboxapp/13.73.0.10 (Baidu; P1 14) NABar/1.0"
Dalvik/2.1.0 (Linux; U; Android 11; V2148A Build/RP1A.200720.012)
"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.53(0x18003531) NetType/WIFI Language/zh_CN miniProgram/wx1753810b04aff5f8"
Dalvik/2.1.0 (Linux; U; Android 10; Redmi K20 Pro MIUI/V12.0.6.0.QFKCNXM)
Dalvik/2.1.0 (Linux; U; Android 11; 20210188 Build/RP1A.201005.001)
"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.106 Safari/537.36"
